timestamp,product_id,handle,old_title,new_title
2026-07-03T10:10:35.847Z,gid://shopify/Product/15042136277378,"adidas-sambae-clear-sky-bliss-lilac-womens","adidas Sambae Clear Sky Bliss Lilac (Women's) | Resell","adidas Sambae Clear Sky Bliss Lilac (Women's)"
2026-07-03T10:10:36.158Z,gid://shopify/Product/15042933522818,"adidas-gazelle-indoor-kith-classics-white-navy","adidas Gazelle Indoor Kith Classics White Navy | Resell","adidas Gazelle Indoor Kith Classics White Navy"
2026-07-03T10:10:36.488Z,gid://shopify/Product/15042933850498,"adidas-speedfactory-am4-am4cm-captain-marvel","adidas Speedfactory AM4 AM4CM Captain Marvel | Resell","adidas Speedfactory AM4 AM4CM Captain Marvel"
2026-07-03T10:10:36.901Z,gid://shopify/Product/15042934112642,"adidas-gazelle-size-exclusive-green-yellow","adidas Gazelle size? Exclusive Green Yellow | Resell","adidas Gazelle size? Exclusive Green Yellow"
2026-07-03T10:10:37.420Z,gid://shopify/Product/15042934309250,"adidas-sl-72-rs-cloud-white-core-black-spark-gs","adidas SL 72 RS Cloud White Core Black Spark () | Resell","adidas SL 72 RS Cloud White Core Black Spark ()"
2026-07-03T10:10:37.723Z,gid://shopify/Product/15042934800770,"adidas-samba-millennium-cloud-white-green-gum","adidas Samba Millennium Cloud White Green Gum | Resell","adidas Samba Millennium Cloud White Green Gum"
2026-07-03T10:10:38.029Z,gid://shopify/Product/15042935161218,"adidas-gazelle-liberty-london-floral-embroidery-gs","adidas Gazelle Liberty London Floral Embroidery () | Resell","adidas Gazelle Liberty London Floral Embroidery ()"
2026-07-03T10:10:38.468Z,gid://shopify/Product/15042935456130,"adidas-samba-og-cloud-white-collegiate-green","adidas Samba OG Cloud White Collegiate Green | Resell","adidas Samba OG Cloud White Collegiate Green"
2026-07-03T10:10:38.849Z,gid://shopify/Product/15042935816578,"adidas-samba-og-silver-dawn-aurora-black-womens","adidas Samba OG Silver Dawn Aurora Black (Women's) | Resell","adidas Samba OG Silver Dawn Aurora Black (Women's)"
2026-07-03T10:10:39.208Z,gid://shopify/Product/15042936013186,"adidas-sl-72-rs-collegiate-green-core-white","adidas SL 72 RS Collegiate Green Core White | Resell","adidas SL 72 RS Collegiate Green Core White"
2026-07-03T10:10:39.571Z,gid://shopify/Product/15042936078722,"adidas-samba-leather-cloud-white-lucid-blue","adidas Samba Leather Cloud White Lucid Blue | Resell","adidas Samba Leather Cloud White Lucid Blue"
2026-07-03T10:10:39.897Z,gid://shopify/Product/15042936471938,"adidas-handball-spezial-wonder-taupe-womens","adidas Handball Spezial Wonder Taupe (Women's) | Resell","adidas Handball Spezial Wonder Taupe (Women's)"
2026-07-03T10:10:40.612Z,gid://shopify/Product/15042942271874,"adidas-rasant-mid-shadow-brown-off-white-womens","adidas Rasant Mid Shadow Brown Off White (Women's) | Resell","adidas Rasant Mid Shadow Brown Off White (Women's)"
2026-07-03T10:10:40.865Z,gid://shopify/Product/15042951512450,"adidas-gazelle-indoor-sean-wotherspoon-hemp-green","adidas Gazelle Indoor Sean Wotherspoon Hemp Green | Resell","adidas Gazelle Indoor Sean Wotherspoon Hemp Green"
2026-07-03T10:10:41.140Z,gid://shopify/Product/15043123413378,"adidas-gazelle-stack-black-cream-white-womens","adidas Gazelle Stack Black Cream White (Women's) | Resell","adidas Gazelle Stack Black Cream White (Women's)"
